,cocktail_name,glass_id,category_ids
656,Rum Daisy,135,5
657,D'artagnan,9,7
658,Rum Cooler,5,5
659,Rum Collins,5,5
660,Seaboabd,1,8
661,Rum Cobbler,235,5
662,Robson Cocktail,4,5
663,Rio Fix,9,5
664,Ringo Starr,1,5
665,Restless Native,4,5
666,Quarter Deck Cocktail,4,5
667,Quaker's Cocktail,4,5
668,Puerto Rican Rum Daisy,4,5
669,Cuban Cocktail No. 2,4,7
670,Prohibition Punch,207,5
671,Prairie Oyster Cocktail,1,8
672,Poker Cocktail,4,5
673,Planter's Punch No. 2,5,5
674,Planter's Punch No. 1,5,5
675,Planter's Cocktail,4,5
676,Pink Paradise,457,5
677,Pink Creole,4,5
678,Pineapple Fizz,39,5
679,Pineapple Cocktail,4,5
680,Pearl Button,5,5
681,The Crux,4,7
682,Paris When It Sizzles,4,5
683,Palmetto Cocktail,4,5
684,Paddington,4,5
685,The Old Cuban,4,5
686,"Oh, Gosh!",4,5
687,Night Cap,52,5
688,New Orleans Buck,5,5
689,Nevada Cocktail,4,5
690,Moonquake Shake,4,5
691,Monkey Wrench,5,5
692,Creme De Cafe,1,7
693,Margarita,4,8
694,Mojito,5,5
695,Champagne Flamingo,9,11
696,Thunder and Lightning Cocktail,4,8
697,Casco Bay Lemonade,5,11
698,Caribbean Cruise,5,11
699,Cappuccino Cocktail,4,11
700,Cape Codder,39,2
701,Baltimore Bracer Cocktail,4,8
702,Caesar,39,11
703,Bull Shot,1,11
704,Bullfrog,5,11
705,Boston Gold,39,11
706,Corpse Reviver No. 1,4,7
707,Thanksgiving Special Cocktail,4,8
708,Tequini Cocktail,4,8
709,Bordeaux Cocktail,4,11
710,Bolshoi Punch,1,11
711,Blue Lagoon,39,11
712,Stinger Cocktail,4,8
713,Bloody Mary,1,11
714,Spritzer Highball,39,8
715,Bloody Bull,39,11
716,The Blood Orange,4,11
717,Black Russian,1,11
718,Black Magic,1,11
719,Black Cherry Chocolate,4,11
720,Victor Collins,5,8
721,Snowball Cocktail,4,8
722,Violet Fizz,39,8
723,Bikini,4,11
724,Cold Deck Cocktail,4,7
725,The Big Crush,4,11
726,Bianca,4,11
727,Bella Fragolia,1,11
728,Beer Buster,39,11
729,Basil 8,5,11
730,Shamrock Cocktail,4,8
731,Aqueduct,4,11
732,Scotch Whisky Highball,39,8
733,Alfie Cocktail,4,11
734,Admiral Perry,4,11
735,Yellow Rose Of Texas,4,2
736,St. Patrick's Day Cocktail,5,8
737,Purple Twister,5,8
738,Waiting On Summer,5,2
739,Cognac Highball,39,7
740,Prince's Smile Cocktail,4,8
741,Viva Villa,1,2
742,Praire Oyster Cocktail,1,9
743,Praire Chicken,744,8
744,Venial Sin,4,2
745,Vagabundo,457,2
746,The 21st Century,4,2
747,Pollyanna Cocktail,4,8
748,Toreador,4,2
749,Pink Squirrel Cocktail,4,8
750,Pink Lady Cocktail,4,8
751,Tijuana Taxi,39,2
752,Tia Juanathan,39,2
753,Phoebe Snow Cocktail,4,8
754,Tequonic,1,2
755,Tequini,4,2
756,Passion Daiquiri Cocktail,4,8
757,Parisian Blonde Cocktail,4,8
758,Tequila Sunrise,39,2
759,Coffee Grasshopper,1,7
760,Tequila Straight,296,2
761,Tequila Sour,25,2
762,Tequila Smash,1,2
763,Tequila Pink,4,2
764,Tequila Old-Fashioned,1,2
765,Rob Roy Cocktail,4,8
766,Tequila Mockingbird,4,2
767,Tequila Matador,9,2
768,Tequila Manhattan,1,2
769,T.N.T. Cocktail,4,8
770,Thunderclap Cocktail,4,8
771,Thunder Cocktail,4,8
772,Tequila Collins,5,2
773,White Lady Cocktail,4,8
774,Tequila Canyon,5,2
775,Chicago Cocktail,1,7
776,Sunday Confession,5,2
777,Strawberry Margarita,4,2
778,Western Rose Cocktail,4,8
779,Widow's Kiss Cocktail,4,8
780,Spice Of Life,1,2
781,Widow's Dream Cocktail,4,8
782,Vodka Gypsy Cocktail,4,8
783,South Of The Border,25,2
784,Vodka Grasshopper Cocktail,4,8
785,Violet Fizz Juice,39,8
786,Smoked Margarita,1,2
787,Sloe Tequila,1,4
788,Queen Elizabeth Cocktail,4,8
789,Silk Stockings,4,2
790,Orchid Cocktail,4,8
791,Orange Milk Fizz,39,8
792,Orange Gin Rickey,39,8
793,Orange Gin Highball,39,8
794,Orange Gin Fizz,39,8
795,Orange Gin Collins,5,8
796,Sidewinder,5,2
797,Orange Blossom Cocktail,4,8
798,Shady Lady,39,2
799,Cherry Blossom,4,7
800,The Sfozando,4,2
801,Napoleon Cocktail,4,8
802,Moulin Rouge Cocktail,4,8
803,Sea Of Cortez,4,2
804,Satin Sheets,4,2
805,Santana Sling,5,2
806,Rosita,1,2
807,Mariposa Cocktail,4,8
808,Margarita Cocktail,4,8
809,The Refuge,4,2
810,Manhattan Cocktail (dry),4,8
811,Mamie Taylor,5,8
812,Quetzalcoatl,4,2
813,Zero Mint,4,8
814,Purple Pancho,4,2
815,Midnight Express,1,5
816,London Special Cocktail,9,8
817,Mary Pickford Cocktail,4,5
818,Charles Cocktail,4,7
819,Martinique Rose,4,5
820,Mariposa,4,5
821,Mandeville,1,5
822,K.C.B. Cocktail,4,8
823,Malmaison,4,5
824,Mai-Tai (Trader Vic Version),1,5
825,Jersey Lightning Cocktail,4,8
826,Lumination,9,5
827,Jamaica Glow Cocktail,4,8
828,Lounge Lizard,5,5
829,Jack-in-the-Box Cocktail,4,8
830,Irish Whisky Cocktail,4,8
831,Look Out Below,1,5
832,Little Princess Cocktail,4,5
833,Little Devil Cocktail,4,5
834,Champs Elysees Cocktail,4,7
835,Hop Toad Cocktail ,4,8
836,Level headed Cocktail,207,5
837,La Vita Dulce,4,5
838,Hole-in-One Cocktail,4,8
839,Ko Adang,5,5
840,Knickerbocker Special Cocktail,4,5
841,Hair Raiser Cocktail,4,8
842,Green Opal Cocktail,4,8
843,Jamaican Ginger,5,5
844,Green Dragon Cocktail,4,8
845,Grasshopper Cocktail,4,8
846,Jamaican Crawler,5,5
847,Golden Slipper Cocktail,4,8
848,Jade,4,5
849,Jacqueline,4,5
850,Jack Sparrow Flip,39,5
851,Irresistible,4,5
852,Carroll Cocktail,4,7
853,Hush and Wonder,4,5
854,Hurricane Leah,457,5
855,Gimlet Cocktail,4,8
856,Hurricane,457,5
857,Hop Toad,4,5
858,The Holy Roller,4,5
859,Hemingway's Nog,4,5
860,Flying Scotchman Cocktail,4,8
861,Flying Grasshopper Cocktail,4,8
862,Havana Cocktail,4,5
863,Harvest Nectar,135,5
864,Fancy Brandy Cocktail,4,8
865,Fallen Angel Cocktail,4,8
