name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
Biffy Cocktail,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Swedish Punch,1 1/2 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Between-The-Sheets Cocktail,Cocktail Classics,1/4 oz, Juice of a Lemon,1/2 oz, Brandy,1/2 oz, Triple Sec,1/2 oz, Light Rum,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Third-Rail Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Apple Brandy,3/4 oz, Brandy,1/4 oz, Anisette,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Bentley,Cocktail Classics,1 1/2 oz, Apple Brandy,1 oz, Dubonnet,,,,,,,,,Stir with cracked ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Tahiti Club,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Fresh lemon juice,1/2 oz, Fresh Lime Juice,1/2 oz, Pineapple Juice,1/4 oz, Maraschino liqueur,, Lemon wheel,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with a lemon slice.,Old-Fashioned Glass,6
Barton Special,Cocktail Classics,1/2 oz, Applejack,1/4 oz, Scotch,1/4 oz, Gin,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Barnaby's Buffalo Blizzard,Cocktail Classics,1 oz, White creme de cacao,3/4 oz, Vodka,1 oz, Galliano, Vanilla Ice Cream,,1 oz, Grenadine,, Whipped cream and 3/4 oz,Shake or blend. Serve in a collins glass.,Collins Glass,14
Susie Taylor,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Fresh Lime Juice,, Ginger ale,,,,,,,Pour rum and lime juice into ice-filled Collins glass. Fill with ginger ale and stir.,Collins Glass,14
Baltimore Bracer,Cocktail Classics,1 oz, Anisette,1 oz, Brandy,1 oz, Egg White,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Bachelor's Bait Cocktail,Cocktail Classics,1 1/2 oz, Gin,1 oz, Egg White,1 oz, Orange Bitters,1/2 oz, Grenadine,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Bushranger,Cocktail Classics,1 1/2 oz, Light Rum,1 oz, Dubonnet,1 oz, Bitters,,,,,,,Stir with cracked ice and strain into cocktail glass.,Cocktail Glass,6
Sunset at Gowanus,Rum - Daiquiris,2 oz, Dark rum,3/4 oz, Fresh Lime Juice,1/2 oz, Maple Syrup,1/4 oz, Brandy,1/4 oz, Yellow Chartreuse,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Bulldog Highballl,Cocktail Classics,1/2 oz, Juice of Orange,2 oz, Gin,,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7
Bucks Fizz (Mimosa),Cocktail Classics,2 oz, Orange Juice,, Chilled Champagne,,,,,,,,,"Pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with Chilled Champagne, and stir very gently.",Collins Glass,14
Buckjones,Cocktail Classics,1 1/2 oz, Light Rum,1 oz, Sweet Sherry,1/2 oz, Juice of a Lime,,,,,,,Pour ingredients into highball glass over ice cubes and stir. Fill with ginger ale.,Highball Glass,7
Stormy Colada,Rum - Daiquiris,2 oz, Dark rum,2 oz, Pineapple Juice,, Ginger beer," Skewered pineapple wedge, mint sprig, candied ginger slice",,,,,,Add rum and pineapple juice to ice-filled highball glass. Fill with ginger beer and stir. Garnish with a skewer.,Highball Glass,7
Bronx SIlver Cocktail,Cocktail Classics,1/2 oz, Juice of Orange,1 oz, Egg White,1/2 oz, Dry Vermouth,1 oz, Gin,,,,,Shake with ice and strain into sour glass.,Sour Glass,5
Bronx Golden Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Sweet Vermouth,1/2 oz, Dry Vermouth,1/4 oz, Orange,,,,,Same as Bronx Cocktail with the addition of one egg yolk. Use sour glass.,Sour Glass,5
Stone Wall,Rum - Daiquiris,3 slices,thin Peeled fresh ginger,3/4 oz, Demerara Syrup,1 1/2 oz, Fresh apple cider,1 1/2 oz, Light Rum,, Jamaican ginger beer,," Green apple slice, lime wedge",Muddle ginger and syrup in mixing glass. Add cider and rum and shake with ice. Strain into ice-filled old-fashioned glass and fill with ginger beer. Garnish with an apple slice and a lime slice.,Old-Fashioned Glass,6
Depth Bomb,Brandy,1 oz, Apple Brandy,1 oz, Brandy,1 oz, Fresh lemon juice,1 oz, Grenadine,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Stone Cocktail,Rum - Daiquiris,1 oz, Dry Sherry,1/2 oz, Light Rum,1/2 oz, Sweet Vermouth,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Almeria,Cocktail Classics,1 1/2 oz, 17-year-old J. Wray and Nephew Ltd. Rum,1 oz, Coffee-flavored liqueur,1 oz, Egg White,,,,,,,Shake all ingredients with cracked ice and strain into cocktail glass.,Cocktail Glass,6
Aunt Jemima,Cocktail Classics,1/2 oz, Brandy,1/2 oz, White creme de cacao,1/2 oz, Benedictine,,,,,,,"Pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix.",Pousse-Cafe_ Glass,1
Spanish Town Cocktail,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Triple Sec,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
