name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
Tequila Canyon,Tequila,1 1/2 oz, Blanco tequila,1/4 oz, Triple Sec,1 oz, Cranberry Juice,1 oz, Pineapple Juice,1 oz, Orange juice,, Lime wheel,Pour into Collins glass and stir. Add ice. Garnish with a lime slice. Serve with straw.,Collins Glass,14
Chicago Cocktail,Brandy,For glass," Lemon wedge, superfine sugar",1 oz, Brandy,1/2 oz, Fresh lemon juice,1/4 oz, Orange curacao,1/4 oz, Maraschino liqueur,,,Rim chilled old-fashioned glass with lemon and sugar. Stir remaining ingredients with ice and strain into glass.,Old-Fashioned Glass,6
Sunday Confession,Tequila,1 oz, Blanco tequila,1 oz, Limoncello,1/2 oz, Fresh lemon juice, Ginger beer,,, Lemon wedge,,,Pour the first three ingredients into Collins glass and stir briefly. Add ice and top with ginger beer. Garnish with a lemon slice.,Collins Glass,14
Strawberry Margarita,Tequila,For glass," Lime wedge, superfine sugar or coarse salt (optional)",3 oz," Fresh strawberries, cut in half",3/4 oz, Strawberry schnapps,1 1/2 oz, Blanco tequila,3/4 oz, Triple Sec,3/4 oz," Fresh Lime Juice, whole strawberry","If desired, rim chilled cocktail glass with lime and sugar or salt. Muddle strawberries with schnapps in mixing glass. Add remaining ingredients and shake with ice. Strain through fine wire sieve into glass. Garnish with a strawberry.",Cocktail Glass,6
Western Rose Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Apricot Flavored Brandy,1 oz, Old Mr. Boston Dry Gin,1/2 oz, Dry Vermouth,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Widow's Kiss Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Five Star Brandy,1/2 oz, Yellow Chartreuse,1/2 oz, Benedictine,1 oz, Peychaud Bitters,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Spice Of Life,Tequila,3 oz, Cucumber,12,Fresh mint leaves,3/4 oz, Simple Syrup,2 oz, Jalapeno-Infused Tequila,3/4 oz, Fresh Lime Juice,," Cucumber slice, fresh mint sprig","Muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. Add tequila and lime juice with ice and shake. Double-strain into ice-filled old-fashioned glass. Garnish with a cucumber slice and mint sprig.",Old-Fashioned Glass,6
Widow's Dream Cocktail,Cocktail Classics,1 1/2 oz, Benedictine,1 oz, Whole Egg,,,,,,,,,Shake with ice and strain into cocktail glass. Top with one teaspoon of sweet cream.,Cocktail Glass,6
Vodka Gypsy Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Vodka,3/4 oz, Benedictine,1 oz, Angostura Bitters,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
South Of The Border,Tequila,1 oz, Blanco tequila,3/4 oz, Coffee-flavored brandy,1/2 oz, Fresh Lime Juice, Lime wheel,,,,,,Shake with ice and strain into chilled sour glass. Garnish with a lime slice.,Cordial or Pony Glass,2
Vodka Grasshopper Cocktail,Cocktail Classics,3/4 oz, Old Mr. Boston Vodka,3/4 oz, Old Mr. Boston Green Creme de Menthe,3/4 oz, Old Mr. Boston White Creme de Cacao,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Violet Fizz Juice,Cocktail Classics,1/2 oz, Juice of a Lemon,1/2 oz, Powdered Sugar,1 1/2 oz, Old Mr. Boston Dry Gin,1 oz, Creme Yvette,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Smoked Margarita,Tequila,1/2 oz," Smoky Scotch whisky, such as Islay or Skye",1 oz, Reposado tequila,1 oz, Triple Sec,1/2 oz, Fresh lemon juice,1/2 oz, Fresh Lime Juice,, Lime wedge,Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Garnish with a lime slice,Old-Fashioned Glass,6
Sloe Tequila,Shooters,1 oz, Blanco tequila,1/2 oz, Sloe gin,1/2 oz, Fresh Lime Juice, Cucumber peel twist,,,,,,Combine ingredients with 1/2 cup crushed ice in blender on low speed. Pour into old-fashioned glass. Garnish with a cucumber twist.,Old-Fashioned Glass,6
Queen Elizabeth Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Dry Gin,1/2 oz, Dry Vermouth,1 1/2 oz, Benedictine,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Silk Stockings,Tequila,1 1/2 oz, Blanco tequila,1 oz, White creme de cacao,1 1/2 oz, Heavy cream,1 oz, Grenadine,, Ground cinnamon,,,Shake ingredients with ice and strain into chilled cocktail glass. Top with cinnamon.,Cocktail Glass,6
Orchid Cocktail,Cocktail Classics,2 oz, Old Mr. Boston Dry Gin,1 oz, Egg White,1 oz, Creme Yvette,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Orange Milk Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Old Mr. Boston Orange Flavored Gin ,2 oz, Milk,,,,,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.,Highball Glass,7
Orange Gin Rickey,Cocktail Classics,1/2 oz, Juice of a Lime,2 oz, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,Pour into highball glass over ice cubes and fill with carbonated water. Garnish with a lime slice. Stir.,Highball Glass,7
Orange Gin Highball,Cocktail Classics,2 oz, Old Mr. Boston Orange Flavored Gin ,,ginger ale,,lemon twist,,,,,,,"Pour into highball glass over ice cubes and fill with ginger ale or carbonated water. Garnish with a lemon twist, if desired, and stir.",Highball Glass,7
Orange Gin Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Old Mr. Boston Orange Flavored Gin ,,,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Orange Gin Collins,Cocktail Classics,1/2 oz, Juice of a Lemon,2 oz, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,"Shake with ice and strain into collins glass. Add several cubes of ice, fill with carbonated water and stir. Garnish with a lemon slice and an orange slice and a cherry. Serve with straws.",Collins Glass,14
Sidewinder,Tequila,1 1/2 oz, Reposado tequila,1/2 oz, Campari,1/2 oz," Vanilla syrup, preferably B.A. Reynold's",1/2 oz, Fresh Lime Juice,1/4 oz, Mezcal,2 oz," Ginger beer, 1 oz",Fill Collins glass 1/2 full with crushed ice. Add all ingredients. Swizzle with barspoon until glass is frosted. Fill to brim with additional ice. Garnish with mint.,Collins Glass,14
Orange Blossom Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Dry Gin,1 oz, Orange Juice,1/4 oz, Powdered Sugar,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Shady Lady,Tequila,1 oz, Blanco tequila,1 oz, Melon liqueur,4 oz, Fresh grapefruit juice,4 oz, Fresh grapefruit juice,, Lime wedge; honeydew melon wedge or maraschino cherry,,,Combine all ingredients in ice-filled highball glass and stir. Garnish with a lime slice and a melon slice or a cherry.,Highball Glass,7
Cherry Blossom,Brandy,," Cherry-flavored brandy, superfine sugar",1 oz, Brandy,1/2 oz, cherry-flavored brandy,1/2 oz, Fresh lemon juice,1/4 oz, Triple Sec,1/4 oz," Grenadine, maraschino cherry",Rim chilled cocktail glass with brandy and sugar. Shake ingredients with ice and strain into glass. Garnish with a cherry.,Cocktail Glass,6
The Sfozando,Tequila,1 oz, Mezcal,3/4 oz, Rye Whiskey,1/2 oz, Dry Vermouth,1/2 oz, Benedictine,1 oz, Chocolate bitters,, Orange twist,Stir with ice and strain into cocktail glass. Garnish with a orange twist.,Cocktail Glass,6
Napoleon Cocktail,Cocktail Classics,2 oz, Old Mr. Boston Dry Gin,1/2 oz, Curacao,1/2 oz, Dubonnet,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Moulin Rouge Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Sloe Gin,3/4 oz, Sweet Vermouth,1 oz, Bitters,,,,,,,Stir with ice and strain cocktail glass.,Cocktail Glass,6
Sea Of Cortez,Tequila,1 1/2 oz, Blanco tequila,1 oz, Fresh Lime Juice,3/4 oz, Creme de Cassis,1/4 oz, Orange curacao,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Satin Sheets,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, Falernum,1/2 oz, Simple Syrup,3/4 oz, Fresh Lime Juice,, Lime wheel,,,Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Santana Sling,Tequila,1 1/2 oz, Reposado tequila,1/2 oz, Cherry Heering,1/4 oz, Batavia arrack or light rum,1/2 oz, Fresh Lime Juice,3 oz, Ginger beer,,,Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.,Collins Glass,14
Rosita,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, Sweet Vermouth,1/2 oz, Dry Vermouth,1/2 oz, Campari,1 oz, Angostura Bitters,, Lemon twist,Stir with ice. Strain into ice-filled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Mariposa Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Rum,1/2 oz, Old Mr. Boston Five Star Brandy,1 oz, Lemon Juice,1 oz, Orange Juice,1 oz, Grenadine,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Margarita Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Tequila,1/2 oz, Old Mr. Boston Triple Sec,1 oz, Lemon or Lime Juice,,,,,,,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. ",Cocktail Glass,6
The Refuge,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, Aperol,1/4 oz, Fresh Lime Juice,1/4 oz, Grapefruit Juice,1/4 oz, Agave nectar,,,Shake with ice. Strain into chilled cocktail glass.,Cocktail Glass,6
Manhattan Cocktail (dry),Cocktail Classics,3/4 oz, Dry Vermouth,1 1/2 oz, Old Thompson Blended Whiskey,,,,,,,,,Stir with ice and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6
Mamie Taylor,Cocktail Classics,1/2 oz, Juice of a Lime,2 oz, Desmond & Duff Scotch Whisky,,,,,,,,,Fill collins glass with ginger ale and ice. Stir.,Collins Glass,14
Quetzalcoatl,Tequila,1 oz, Blanco tequila,3/4 oz, Mezcal,1/2 oz, Creme de peche,1/2 oz, Guava puree,1/2 oz, Grapefruit Juice,, Grapefruit twist,Shake with ice and strain into cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6
Zero Mint,Cocktail Classics, 2 oz, Mr. Boston Creme de menthe,,water,,,,,,,,,For each serving chill 2 oz. Old Mr. Boston Creme de Menthe (Green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (Does not have to be frozen solid.) Serve in cocktail glasses.,Cocktail Glass,6
Purple Pancho,Tequila,For glass," Lime wedge, superfine sugar",1 oz, Blanco tequila,1/2 oz, Blue curacao,1/2 oz, Sloe gin,2 oz, Fresh Lime Juice,1 oz," each Fresh lemon juice, simple syrup, 1 lime wheel",Rim chilled cocktail or margarita glass with lime wedge and sugar. Shake remaining ingredients with ice and pour with ice into glass. Garnish with a lime slice,Cocktail Glass,6
Midnight Express,Rum - Daiquiris,1 1/2 oz, Dark rum,1/2 oz, Triple Sec,3/4 oz, Fresh Lime Juice,1/4 oz, Fresh lemon juice,1/4 oz, Simple Syrup,,,Shake with ice and pour into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
London Special Cocktail,Cocktail Classics,,orange peel,,lump sugar,2 dashes ,bitters,champagne,,,,,,Put a large orange twist into champagne glass. Add 1 lump sugar and 2 dashes bitters. Fill with well-chilled champagne and stir.,Champagne Flute,6
Mary Pickford Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,3/4 oz, Pineapple Juice,1/4 oz, Maraschino liqueur,1/4 oz, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Charles Cocktail,Brandy,1 1/2 oz, Brandy,1 1/2 oz, Sweet Vermouth,1 oz, Angostura Bitters,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Martinique Rose,Rum - Daiquiris,2 oz, Aged rhum agricole,1/2 oz, Amaretto,3/4 oz, Fresh Lime Juice,3/4 oz, Grapefruit Juice,1/2 oz, orgeat or almond syrup,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Mariposa,Rum - Daiquiris,1 oz, Light Rum,1/2 oz, Brandy,1/2 oz, Fresh lemon juice,1/2 oz, Orange juice,1 oz, Grenadine,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Mandeville,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Dark rum,1/2 oz, Fresh lemon juice,1 oz, Anisette,1 oz, Grenadine, Cola,,Shake first five ingredients with ice and strain into ice-filled old fashioned glass. Top with cola.,Old-Fashioned Glass,6
K.C.B. Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Kummel,1 1/2 oz, Old Mr. Boston Dry Gin,1/4 oz, Old Mr. Boston Apricot Flavored Brandy,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Malmaison,Rum - Daiquiris,, Anisette,1 oz, Light Rum,1/2 oz, Cream sherry,1 oz, Fresh lemon juice,,,,,Rim chilled cocktail glass with anisette. Shake remaining ingredients with ice. Strain into glass.,Cocktail Glass,6
Mai-Tai (Trader Vic Version),Rum - Daiquiris,2 oz," Dark rum, preferably Jamaican",1/2 oz, Orange curacao,1 oz, Fresh lime juice (reserve 1/2 lime shell for garnish),1/2 oz, Orgeat Syrup,1/4 oz, Rock candy syrup or simple syrup,, Fresh mint sprig; pineapple wedge skewered with maraschino cherry,"Shake ingredients without ice. Strain into ice-filled old-fashioned glass. Garnish with a lime twist, mint, and a skewered pineapple and cherry.",Old-Fashioned Glass,6
Jersey Lightning Cocktail,Cocktail Classics,1 1/2 oz, Apple Brandy,1/2 oz, Sweet Vermouth,1 oz, Juice of a Lime,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Lumination,Rum - Daiquiris,2 oz, Fresh ginger,1 oz, Simple Syrup,2 oz, Dark rum,1 oz, VS cognac,1 oz," each Fresh lemon juice, Angostura bitters",, Lemon twist,Muddle ginger in syrup in mixing glass. Add remaining ingredients and ice and shake. Strain into chilled champagne flute. Garnish with a lemon twist.,Champagne Flute,6
Jamaica Glow Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Dry Gin,1 oz, Claret,1 oz, Orange Juice,1 oz, Jamaica Rum,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Lounge Lizard,Rum - Daiquiris,1 oz, Dark rum,1/2 oz, Amaretto,, Cola, Lime wedge,,,,,,Pour rum and amaretto into ice-filled Collins glass. Fill with cola and stir. Garnish with a lime slice.,Collins Glass,14
Jack-in-the-Box Cocktail,Cocktail Classics,1 oz, Apple Brandy,1 oz, Pineapple Juice,1 oz, Bitters,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Irish Whisky Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Triple Sec,1/2 oz, Absinthe Substitute,1/4 oz, Maraschino,1 oz, Bitters,2 oz, Irish Whiskey,,,Stir with ice and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6
Look Out Below,Rum - Daiquiris,1 1/2 oz, 151-Proof Rum,1/2 oz, Fresh Lime Juice,1/4 oz, Grenadine,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Little Princess Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1 1/2 oz, Sweet Vermouth,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Little Devil Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Gin,1/2 oz, Fresh lemon juice,1/4 oz, Triple Sec,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Champs Elysees Cocktail,Brandy,1 oz, Brandy,1/2 oz, Yellow Chartreuse,1/2 oz, Fresh lemon juice,1 oz, Simple Syrup,1 oz, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Hop Toad Cocktail ,Cocktail Classics,1/2 oz, Juice of a Lime,3/4 oz, Old Mr. Boston Apricot Flavored Brandy,3/4 oz, Old Mr. Boston Rum,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Level headed Cocktail,Rum - Daiquiris,1 1/2 oz, Aged rhum agricole,1 oz, Cold brewed coffee,1/2 oz, Allspice liqueur (pimento dram),1/4 oz, Simple Syrup,2 oz, Angostura Bitters,,,Shake with ice and strain into snifter.,Brandy Snifter,8
La Vita Dulce,Rum - Daiquiris,1 1/2 oz, Spiced rum,3/4 oz, Mezcal,3/4 oz, Fresh Lime Juice,3/4 oz, Simple Syrup,, Ground cinnamon,,,Shake with ice and strain into chilled cocktail glass. Top with cinnamon.,Cocktail Glass,6
Hole-in-One Cocktail,Cocktail Classics,1 3/4 oz, Desmond & Duff Scotch Whisky,3/4 oz, Dry Vermouth,1/4 oz, Lemon Juice,1 oz, Orange Bitters,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Ko Adang,Rum - Daiquiris,2 oz, Dark rum,1 oz, Coconut rum,1/2 oz, Ginger liqueur,1/2 oz, Mango nectar,1/2 oz, Cream of coconut,1/2 oz," Fresh Lime Juice, lime wheel",Shake with ice and strain into ice-filled Collins glass. Garnish with a lime slice.,Collins Glass,14
Knickerbocker Special Cocktail,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Triple Sec,1 oz, Fresh lemon juice,1 oz, Orange juice,1 oz, Raspberry Syrup,, Small pineapple slice,Shake with ice and strain into chilled cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6
Hair Raiser Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston 100 proof Vodka,1/2 oz, Old Mr. Boston Rock and Rye,1 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Green Opal Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Dry Gin,1/2 oz, Old Mr. Boston Anisette ,1 oz, Absinthe Substitute,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Jamaican Ginger,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Dark rum,1/2 oz, Falernum,1/2 oz, Fresh Lime Juice,4 oz, Angostura Bitters,," Ginger ale, lime wheel",Stir first five ingredients in ice-filled Collins glass. Top with ginger ale. Garnish with a lime slice.,Collins Glass,14
Green Dragon Cocktail,Cocktail Classics,1/2 oz, Juice of a Lemon,1/2 oz, Old Mr. Boston Kummel,1/2 oz, Old Mr. Boston Green Creme de Menthe,1 1/2 oz, Old Mr. Boston Dry Gin,4 oz, Orange Bitters,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Grasshopper Cocktail,Cocktail Classics,3/4 oz, Old Mr. Boston Green Creme de Menthe,3/4 oz, Old Mr. Boston White Creme de Cacao,3/4 oz, Light Sweet Cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Jamaican Crawler,Rum - Daiquiris,1 oz, Light Rum,1 oz, Melon liqueur,3 oz, Pineapple Juice,1 oz, Grenadine,,,,,Shake first three ingredients with ice and pour into Collins glass. Add grenadine and stir.,Collins Glass,14
Golden Slipper Cocktail,Cocktail Classics,3/4 oz, Yellow Chartreuse,2 oz, Old Mr. Boston Apricot Flavored Brandy,,,,,,,,,Stir with ice and strain into cocktail glass. Top with an unbroken egg yolk.,Cocktail Glass,6
Jade,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Fresh Lime Juice,1/2 oz, Green creme de menthe,1/2 oz, Triple Sec,1/2 oz, Simple Syrup Scant,, Lime wheel,Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Jacqueline,Rum - Daiquiris,2 oz, Dark rum,1 oz, Triple Sec,1 oz, Fresh Lime Juice,1 oz, Simple Syrup,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Jack Sparrow Flip,Rum - Daiquiris,2 oz, Dark rum,3/4 oz, Madeira,3/4 oz, Simple Syrup,1 oz, Egg,2 oz, Angostura Bitters,, Freshly grated nutmeg,Shake without ice. Then shake with ice and strain into highball glass. Top with nutmeg.,Highball Glass,7
Irresistible,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Sweet Vermouth,1/4 oz, Benedictine,1/4 oz, Fresh lemon juice,, Lemon twist,,,Shake and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Carroll Cocktail,Brandy,1 1/2 oz, Brandy,3/4 oz, Sweet Vermouth,, Maraschino cherry,,,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Hush and Wonder,Rum - Daiquiris,1 oz, Creme de violette,2 oz, Light Rum,3/4 oz, Fresh Lime Juice,3/4 oz, Simple Syrup,3 oz, Grapefruit bitters,,,Pour creme de violette into chilled cocktail glass and swirl to coat; discard excess liqueur. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6
Hurricane Leah,Rum - Daiquiris,1/4 oz," each Light Rum, Gin, Vodka, Blanco tequila, Blue curacao",1 oz, cherry-flavored brandy,1 1/2 oz, Simple Syrup,1 1/2 oz, Fresh lemon juice,3 oz, Fresh orange juice,, Orange wheel,"Pour ingredients, in order given, into ice-filled hurricane glass and stir. Garnish with an orange slice.",Hurricane Glass,14
Gimlet Cocktail,Cocktail Classics,1 oz, Rose's Lime Juice,1 oz, Powdered Sugar,1 1/2 oz, Old Mr. Boston Dry Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Hurricane,Rum - Daiquiris,1 1/2 oz," each Dark rum, light rum",1 oz, Passion Fruit Syrup,1 oz, Lime Juice,3/4 oz, Orange juice,1/2 oz," each Simple Syrup, grenadine",," Orange half-wheel, maraschino cherry",Shake with ice and strain into ice-filled hurricane glass. Garnish with an orange slice and a cherry.,Hurricane Glass,14
Hop Toad,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Apricot-Flavored Brandy,1/2 oz, Fresh Lime Juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
The Holy Roller,Rum - Daiquiris,1 1/2 oz, Cachaca,3/4 oz, Fresh Lime Juice,1/2 oz, Honey Syrup,4 Fresh mint leaves,,2 oz, Angostura Bitters,1/2 oz," Champagne or sparkling wine, mint sprig",Shake first five ingredients with ice. Strain into chilled cocktail glass. Top with Champagne or sparkling wine. Garnish with mint.,Cocktail Glass,6
Hemingway's Nog,Rum - Daiquiris,1 1/2 oz, Dark rum,3/4 oz, Vanilla liqueur,1/4 oz, Simple Syrup,1 oz, Creme fraiche,3 oz," tiki bitters, such as Bittermen's Elemakule",, Freshly grated nutmeg,Shake with ice and strain into chilled cocktail glass. Top with nutmeg.,Cocktail Glass,6
Flying Scotchman Cocktail,Cocktail Classics,1 oz, Sweet Vermouth,1 oz, Desmond & Duff Scotch Whisky,1 oz, Bitters,1/4 oz, Sugar Syrup,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Flying Grasshopper Cocktail,Cocktail Classics,3/4 oz, Old Mr. Boston Green Creme de Menthe,3/4 oz, Old Mr. Boston White Creme de Cacao,3/4 oz, Old Mr. Boston Vodka,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Havana Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,1 1/2 oz, Pineapple Juice,1/4 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Harvest Nectar,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Pineapple Juice,1 oz, Cranberry Juice,1 oz, Orange juice,1 oz, Lemon-lime soda,,,Shake with ice and strain into ice-filled beer mug.,Beer Mug,10
Fancy Brandy Cocktail,Cocktail Classics,2 oz, Old Mr. Boston Five Star Brandy,1 oz, Bitters,1/4 oz, Old Mr. Boston Triple Sec,1/4 oz, Powdered Sugar,,,,,Shake with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Fallen Angel Cocktail,Cocktail Classics,1 oz, Juice of a Lime,1 1/2 oz, Old Mr. Boston Dry Gin,1 oz, Bitters,1/2 oz, Old Mr. Boston White Creme de Menthe,,,,,Shake with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6
The Poncho,Tequila,2 oz, Reposado tequila,1/2 oz, Dry Vermouth,1/2 oz, Maraschino liqueur,2 oz, Peychaud's Bitters,, Maraschino cherry,,,Stir with ice and strain into chilled cocktail glass. Garnish with a cherry.,Cocktail Glass,6
Hai Karate,Rum - Daiquiris,2 oz, Dark rum,1 oz, Fresh Lime Juice,1 oz, Pineapple Juice,1 oz, Orange juice,1 oz, Maple Syrup,1 oz, Angostura Bitters,Shake with ice and strain into ice-filled Collins glass. Garnish with a cherry and an orange slice.,Collins Glass,14
Cara Sposa,Brandy,1 oz, Coffee-flavored brandy,3/4 oz, Triple Sec,1/2 oz, half-and-half,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Traditional Martini (Dry),Cocktail Classics,1 oz, Gin,1 oz, Dry Vermouth,1 oz, Orange Bitters, Lemon twist,,,,,,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Pina Agave,Tequila,2 oz, Cucumber,1 1/2 oz, Blanco tequila,1 oz, Pineapple Juice,3/4 oz, Fresh lemon juice,1/2 oz, Agave nectar,," Lemon-lime soda, cucumber slice",Muddle 2 cucumber slices in mixing glass. Add the next four ingredients. Shake with ice and strain into chilled cocktail glass. Top with soda and garnish with a cucumber slice.,Cocktail Glass,6
Grande Guignol,Rum - Daiquiris,1 1/2 oz, Dark rum,3/4 oz, Yellow Chartreuse,3/4 oz, Cherry Heering,3/4 oz, Fresh Lime Juice,, Lime wheel,,,Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Pancho Villa,Tequila,1 oz, Anejo tequila,3/4 oz, Aperol,3/4 oz, Sweet Vermouth,1 oz, Peach bitters,, Grapefruit twist,,,Stir with ice and strain into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6
Paloma (Natural),Tequila,2 oz, Blanco tequila,2 oz, Fresh white or ruby red grapefruit juice,, Soda water, Lime wedge,,,,,,Pour tequila and grapefruit juice into ice-filled Collins glass. Fill with soda water and stir briefly. Garnish with a lime slice,Collins Glass,14
Golden Friendship,Rum - Daiquiris,1 oz, Light Rum,1 oz, Sweet Vermouth,1 oz, Amaretto, Ginger ale,,," Orange zest spiral, maraschino cherry",,,"Stir first three ingredients in ice-filled Collins glass with ice, then fill with ginger ale. Garnish with an orange and a cherry.",Collins Glass,14
Paloma,Tequila,2 oz, Blanco tequila,, Grapefruit-flavored soda,, Lime wedge,,,,,,,Pour tequila into ice-filled Collins glass. Fill glass with soda and stir briefly. Garnish with a lime slice,Collins Glass,14
Pacific Sunshine,Tequila,For glass," Lemon wheel, coarse salt",1 1/2 oz, Blanco tequila,1 1/2 oz, Blue curacao,3/4 oz, Simple Syrup,3/4 oz, Fresh lemon juice,1 oz, Angostura Bitters,Rim chilled hurricane or parfait glass with lemon and salt; reserve lemon. Shake remaining ingredients with ice in mixing glass. Pour with ice into glass. Garnish with a preserved lemon slice.,Hurricane Glass,14
