name,glass-size (oz),category,measurement-1,unit-1,ingredient-1,measurement-2,unit-2,ingredient-2,measurement-3,unit-3,ingredient-3,measurement-4,unit-4,ingredient-4,measurement-5,unit-5,ingredient-5,measurement-6,unit-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz),Cocktail Measurment,Match
Brown Cocktail,6,Cocktail Classics,1,oz, Gin,0.75,oz, Light Rum,0.75,oz, Dry Vermouth,1,oz,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,3.5,FALSE
Bronx Terrace Cocktail,6,Cocktail Classics,1,oz, Gin,1.5,oz, Dry Vermouth,0.5,oz, Juice of a Lime,,,,,,,,,,Cherry,Shake with  ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6,3,FALSE
Bronx Cocktail (Dry),6,Cocktail Classics,1,oz, Gin,1,oz, Dry Vermouth,0.25,oz, Juice of Orange,,,,,,,,,,Orange Slice,Shake with ice and strain into cocktail glass. Garnish with an orange slice.,Cocktail Glass,6,2.25,FALSE
Hill Dog,6,Whiskies,1.5,oz, White whiskey,0.5,oz, Grand Marnier,0.5,oz, Dry Sherry,0.5,oz, Lavender Syrup,,,,,,,Orange Twist,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6,3,FALSE
Blue Devil Cocktail,6,Cocktail Classics,1,oz, Gin,0.25,oz,Juice of Lemon or Lime,1,oz, Maraschino,0.5,oz, Blue curacao,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.75,FALSE
Blue Canary,6,Cocktail Classics,1,oz, Gin,3,oz, Grapefruit Juice,1,oz, Blue curacao,,,,,,,,,,Mint,Combine ingredients with ice in mixing glass and stir gently. Strain into chilled cocktail glass filled with crushed ice. Garnish with a mint sprig.,Cocktail Glass,6,5,FALSE
Blue Bird,6,Cocktail Classics,1,oz, Gin,0.5,oz, Triple Sec,1,oz, Bitters,,,,,,,,,,"Lemon Twist, Cherry",Stir with ice cubes and strain into cocktail glass. Garnish with a lemon twist and a cherry.,Cocktail Glass,6,2.5,FALSE
Bloodhound Cocktail,6,Cocktail Classics,0.75,oz, Dry Vermouth,0.5,oz, Sweet Vermouth,1,oz, Gin,,,,,,,,,,Strawberry,Shake with ice and strain into cocktail glass. Garnish with two or three crushed strawberries.,Cocktail Glass,6,2.25,FALSE
Billy Taylor,14,Cocktail Classics,1,oz, Juice of a Lime,2,oz, Gin,3,oz, Club Soda,,,,,,,,,,,Fill collins glass with club soda and ice cubes. Stir in lime juice and gin.,Collins Glass,14,6,FALSE
Bijou Cocktail,6,Cocktail Classics,1,oz, Gin,0.75,oz, Green Chartreuse,0.75,oz, Sweet Vermouth,1,oz, Orange Bitters,,,,,,,Cherry,Stir with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6,3.5,FALSE
Bermuda Rose ,6,Cocktail Classics,1,oz, Gin,1.5,oz, Apricot Flavored Brandy,1.5,oz, Grenadine,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,4,FALSE
Vodka Sour,6,Vodka,2,oz, Vodka,2,oz, Vodka,0.75,oz, Fresh lemon juice,0.75,oz, Simple Syrup,,,,,,,"Lemon Slice, Cherry",Shake with ice and strain into chilled cocktail glass. Garnish with a lemon slice and a cherry.,Cocktail Glass,6,5.5,FALSE
Apricot Anisette Collins,14,Cocktail Classics,1,oz, Gin,0.5,oz, Apricot Flavored Brandy,1.5,oz, Anisette,1,oz, Lemon Juice,,,,,,,Lemon Slice,Shake with ice and strain into collins glass over ice. Fill with club soda and stir lightly. Garnish with a lemon slice.,Collins Glass,14,4,FALSE
Alexander's Sister Cocktail,6,Cocktail Classics,1,oz, Dry gin,1,oz, Green creme de menthe,1,oz, Light cream,,,,,,,,,,Nutmeg,Shake with ice and strain into cocktail glass. Top with nutmeg.,Cocktail Glass,6,3,FALSE
Highland Cooler,14,Whiskies,1.5,oz, Blended Scotch Whiskey,0.5,oz, Simple Syrup,4,oz, Soda water or ginger ale,,,,,,,,,,"Orange Twist, Lemon Twist",Stir Scotch and syrup in Collins glass. Add ice. Fill with soda and stir again. Garnish with an orange twist or a lemon twist.,Collins Glass,14,6,FALSE
Alexander Cocktail No. 1,6,Cocktail Classics,1,oz, Gin,1,oz, Creme de Cacao (White),1,oz, Light cream,,,,,,,,,,Nutmeg,Shake with ice and strain into cocktail glass. Top with nutmeg.,Cocktail Glass,6,3,FALSE
Adam and Eve,6,Cocktail Classics,1,oz, Forbidden Fruit,1,oz, Gin,1,oz, Brandy,1,oz, Lemon Juice,,,,,,,,Shake well with cracked ice and strain into cocktail glass.,Cocktail Glass,6,4,FALSE
Vodka Sling,6,Vodka,2,oz, Vodka,1,oz, Fresh lemon juice,0.5,oz, Simple Syrup,,,,,,,,,,Orange Twist,"Pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. Garnish with an orange twist.",Old-Fashioned Glass,6,3.5,FALSE
Jack Rose Cocktail,6,Brandy,1.5,oz, Applejack,0.5,oz, Fresh Lime Juice,0.25,oz, Grenadine,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,2.25,FALSE
Tempter Cocktail,6,Cocktail Classics,1,oz, Port,1,oz, Apricot Flavored Brandy,,,,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,2,FALSE
Special Rough Cocktail,6,Cocktail Classics,1,oz, Apple Brandy,1.5,oz, Brandy,0.5,oz, Anisette,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,3,FALSE
Vodka Grasshopper,6,Vodka,2,oz, Vodka,0.75,oz, Green creme de menthe,0.75,oz, White creme de cacao,0.75,oz, half-and-half,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,4.25,FALSE
Singapore Sling,14,Cocktail Classics,0.25,oz, Juice of a Lemon,1,oz, Powdered Sugar,2,oz, Gin,1,oz, Club Soda,1,oz, cherry-flavored brandy,,,,Pineapple Slice,"Shake lemon, sugar, and gin with ice and strain into collins glass. Add ice cubes and fill with club soda. Top with cherry-flavored brandy. Garnish with pineapple slice and serve with straws.",Collins Glass,14,5.25,FALSE
Saratoga Cocktail,6,Cocktail Classics,0.5,oz, Brandy,2,oz, Bitters,1,oz, Lemon Juice,1,oz, Pineapple Juice,1,oz, Maraschino,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,5.5,FALSE
High Cotton,6,Whiskies,2,oz, Straight rye whiskey,0.5,oz, Pimm's No. 1 Cup,0.5,oz, Dubonnet Rouge,2,oz, Peach bitters,,,,,,,"Lemon Slice, Mint",Stir with ice and strain into chilled cocktail glass. Garnish with a lemon slice and mint.,Cocktail Glass,6,5,FALSE
Polonaise,6,Cocktail Classics,0.5,oz, Brandy,1,oz, Blackberry-flavored brandy,0.5,oz, Dry Sherry,1,oz, Lemon Juice,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6,3,FALSE
Vodka Gimlet,6,Vodka,2,oz, Vodka,1,oz, Fresh Lime Juice,0.5,oz, Simple Syrup,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3.5,FALSE
