name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz)
Tequila Fizz,Cocktail Classics,2 oz, Tequila,.75 oz, Grenadine,,1 oz,1 oz, Egg White,,,,,,Shake well with ice and strain into collins glass over ice cubes. Fill with ginger ale and stir.,Collins Glass,14
Humpty Dumpty,Vodka,2 oz, Vodka,1 oz, Orange juice,,.5 oz,1 oz, Whole Egg,3 oz, Peychaud's Bitters,,,,Shake without ice. Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Tequila Cocktail,Cocktail Classics,2 oz, Tequila,.5 oz, Juice of a Lemon,,4 oz,1 oz, Egg White,,,,,Lemon Slice,Shake ingredients with crushed ice and strain into a cocktail glass. Garnish with a lemon slice.,Cocktail Glass,6
Temptation Cocktail,Cocktail Classics,1.5 oz, Blended whiskey,.5 oz, Triple Sec,,.5 oz,.5 oz, Dubonnet,,,,,"Lemon Twist, Orange Twist",Shake with ice and strain into cocktail glass. Garnish with a lemon twist and an orange twist.,Cocktail Glass,6
Tchoupitolas Street Guzzle,Cocktail Classics,1 oz, Light Rum,, Ginger beer,,,,,,,,,,Pour rum into highball glass over ice cubes. Add ginger beer.,Highball Glass,7
Tahitian Tea,Cocktail Classics,.5 oz, Gin,.5 oz, Light Rum,,.5 oz,.5 oz, Hot Shot Tropical Fruit Liqueur,1 oz, 7-Up,1 oz, each Cranberry Juice and orange juice,,"In a highball glass, mix.5 oz. each of Gin, Light Rum, Vodka, and Hot Shot Tropical Fruit Liqueur. Add 1 oz. each of 7-Up, cranberry juice, and orange juice. Stir.",Highball Glass,7
Limey ,Cocktail Classics,1 oz, Light Rum,1 oz, Lime Liqueur,,.5 oz,2 oz, Lime Juice,,,,,Lime Twist,Combine ingredients and a half-cup of crushed ice in an electric blender. Blend at low speed and pour into champagne flute. Garnish with a lime twist.,champagne_flute,6
Headless Horseman,Vodka,2 oz, Vodka,3 oz, Angostura Bitters,,,,,,,,,Orange Slice,"Pour vodka and bitters into Collins glass. Add ice, fill with ginger ale, and stir. Garnish with an orange slice.",Collins Glass,14
Love Cocktail,Cocktail Classics,2 oz, Sloe gin,1 oz, Egg White,,.5 oz,.5 oz, Raspberry Juice,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Los Angeles Cocktail,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,1 oz,.25 oz, Sweet Vermouth,1.5 oz, Blended whiskey,,,,Shake with ice and strain into sour glass.,sour,5
Long Island Tea,Cocktail Classics,.5 oz, Vodka,.5 oz, Gin,,.5 oz,.5 oz, Tequila,.5 oz, Juice of a Lemon,, Cola,Lemon Slice,Combine ingredients and pour over ice in tall glass. Add a dash of cola for color. Garnish with lemon slice.,Highball Glass,7
Harvey Wallbanger,Vodka,1 oz, Vodka,4 oz,  orange juice,,.5 oz,,,,,,,,Stir vodka and orange juice in Collins glass. Add ice and stir again. Top with Galliano.,Collins Glass,14
Lime Giant,Cocktail Classics,2 oz, Lime Vodka,, Lemon-lime soda,,,,,,,,,Lime Slice,Put ice cubes in collins glass and add lime vodka. Fill with lemon and lime soda. Garnish with a lime slice.,Collins Glass,14
Lil Naue,Cocktail Classics,1 oz, Brandy,.5 oz, Port,,.5 oz,1 oz, Powdered Sugar,1 oz, Egg Yolk,,,Cinnamon,Shake with ice and strain into wine glass. Top with cinnamon.,poco_grande,12
