name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz)
Admiral Perry,Vodka,2 oz, Pear-flavored vodka,1 oz, Cinnamon schnapps,,,1 oz,1 oz,,,,,Pear Slice,Stir with ice and shake into chilled cocktail glass. Garnish with a pear slice.,Cocktail Glass,6
Yellow Rose Of Texas,Tequila,2 oz, Blanco tequila,.75 oz,  lemon juice,,,.5 oz,.25 oz,3 oz, Rose water,,,,Shake first four ingredients with ice and strain into chilled cocktail glass. Top with rose water.,Cocktail Glass,6
St. Patrick's Day Cocktail,Cocktail Classics,.75 oz, Old Mr. Boston Green Creme de Menthe,.75 oz, Green Chartreuse,,,.75 oz,1 oz,,,,,,Stir with ice and strain into cocktail glass.,Collins Glass,14
Purple Twister,Cocktail Classics,2 oz, Old Mr. Boston Grape Vodka,,cola,,,,,,,,,Lemon Slice,"Pour into collins glass over ice cubes. Fill with cola. Garnish with a lemon slice, and stir.",Collins Glass,14
Waiting On Summer,Tequila,3 oz, Cucumber,3 oz,  sage leaves,,,.5 oz,1.5 oz,.75 oz, Simple Syrup,,3 oz,Strawberry,"Muddle cucumber, sage, and lime juice in mixing glass. Add tequila and syrup with ice and shake. Double-strain into ice-filled Collins glass. Top with ginger ale. Garnish with a strawberry.",Collins Glass,14
Cognac Highball,Brandy,2 oz, Cognac,, Ginger ale or soda water,,,,,,,,,Lemon Twist,"Pour Cognac into ice-filled highball glass and fill with ginger ale or soda water. Garnish with a lemon twist, if desired, and stir.",Highball Glass,7
Prince's Smile Cocktail,Cocktail Classics,.5 oz, Old Mr. Boston Apricot Flavored Brandy,.5 oz, Apple Brandy,,,1 oz,.25 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Viva Villa,Tequila,,,1.5 oz, Blanco tequila,,,1 oz,.5 oz,,,,,,Rim old-fashioned glass with lime and salt. Fill with ice. Shake remaining ingredients with ice and strain into glass.,Old-Fashioned Glass,6
Praire Oyster Cocktail,Cordials and Liqueurs,1 oz, Old Mr. Boston Five Star Brandy,1 oz, Worcestershire Sauce,,,1 oz,1 oz,1 oz, Pepper,,,"Egg Yolk, Cayenne Pepper",Shake with ice and strain into old-fashioned glass over two ice cubes. Top with an unbroken egg yolk. Add dash of cayenne pepper.,Old-Fashioned Glass,6
Praire Chicken,Cocktail Classics,1 oz, Old Mr. Boston Dry Gin,1 oz, Whole Egg,,,,,,,,,"Egg Yolk, Salt, Pepper",Open egg without breaking the yolk and put in wine glass. Top with gin. Add pepper and salt.,poco_grande,10
Venial Sin,Tequila,1.5 oz, Blanco tequila,.5 oz, Mezcal,,,.5 oz,.25 oz,.25 oz, Maraschino liqueur,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Vagabundo,Tequila,2 oz, Reposado blanco tequila,1.5 oz, Pineapple Juice,,,1.5 oz,.5 oz,,,,,Lime Slice,Shake ingredients with ice. Strain into ice-filled hurricane glass. Garnish with a lime slice.,hurricane,14
The 21st Century,Tequila,splash,Absinthe,1 oz, Absinthe,,,1.5 oz,.75 oz,.75 oz, White creme de cacao,,,,Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6
Pollyanna Cocktail,Cocktail Classics,3 slices,orange peel,3 slices,pineapple,,,2 oz,.5 oz,.5 tsp, grenadine,,,,"Muddle oranges and pineapple with gin, vermouth, and grenadine.  Shake with ice and strain into cocktail glass.",Cocktail Glass,6
Toreador,Tequila,1.5 oz, Blanco tequila,.5 oz, Dark creme de cacao,,,.5 oz,,,,,,"Whipped Cream, Cocoa","Shake with ice. Strain into chilled cocktail glass. Top with whipped cream, sprinkle with cocoa.",Cocktail Glass,6
Pink Squirrel Cocktail,Cocktail Classics,1 oz, Mr. Boston Creme de Noyaux ,1 oz, Old Mr. Boston White Creme de Cacao,,,1 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Pink Lady Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Grenadine,,,1 oz,1.5 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Tijuana Taxi,Tequila,2 oz, Gold tequila,1 oz, Blue curacao,,,1 oz, Lemon-lime soda,,,,,"Orange Slice, Cherry",Pour first three ingredients into ice-filled large highball glass. Fill with lemon-lime soda. Garnish with an orange slice and a cherry.,Highball Glass,7
Tia Juanathan,Tequila,1.5 oz, Blanco tequila,.5 oz,  Lime Juice,,,.5 oz,.5 oz,, Soda water,,,Orange Slice,Shake first four ingredients with ice and strain into ice-filled highball glass. Top with soda water. Garnish with an orange slice.,Highball Glass,7
Phoebe Snow Cocktail,Cocktail Classics,1.5 oz, Dubonnet,1.5 oz, Old Mr. Boston Five Star Brandy,,,.5 oz,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Tequonic,Tequila,2 oz, Blanco tequila,.25 oz,  lemon or lime juice,,,,,,,,,Lime Slice,"Pour tequila into ice-filled old-fashioned glass. Add juice, fill with tonic water, and stir. Garnish with a lime slice",Old-Fashioned Glass,6
Tequini,Tequila,1.5 oz, Blanco tequila,.5 oz, Dry Vermouth,,,1 oz,,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Passion Daiquiri Cocktail,Cocktail Classics,1.5 oz, Old Mr. Boston Rum,1 oz, Juice of a Lime,,,1 oz,1 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Parisian Blonde Cocktail,Cocktail Classics,.75 oz, Sweet Cream,.75 oz, Old Mr. Boston Triple Sec,,,.75 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Tequila Sunrise,Tequila,2 oz, Blanco tequila,4 oz, Orange juice,,,.75 oz,,,,,,,"Pour tequila and orange juice into ice-filled highball glass. Stir and add ice. Slowly pour in grenadine and allow to settle at glass bottom. Before drinking, stir to create the ""sunrise""",Highball Glass,7
Coffee Grasshopper,Brandy,.75 oz, Coffee-flavored brandy,.75 oz, White creme de menthe,,,.75 oz,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Tequila Straight,Tequila,1 oz, Coarse salt,1.5 oz, Blanco tequila,,,1 oz,,,,,,"Lime Slice, Salt","Put salt between thumb and index finger on back of one hand. Hold shot glass of tequila in same hand and lime slice in other hand. Taste the salt, drink the tequila, and then suck the lime.",rocks,1
Tequila Sour,Tequila,2 oz, Blanco tequila,.75 oz,  lemon juice,,,.75 oz,,,,,,"Lemon Slice, Cherry",Shake with ice and strain into chilled sour glass. Garnish with a lemon slice and a cherry.,champagne_extra_fluted,2
Tequila Smash,Tequila,4 oz, Blueberries,4 oz, Bing cherries,,,2 oz,.5 oz,.5 oz,  Lime Juice,,,"Lime Slice, Blueberry, Cherry",Muddle blueberries and cherries in mixing glass. Add remaining ingredients and shake. Double-strain into ice-filled old-fashioned glass. Garnish with skewered fruit.,Old-Fashioned Glass,6
Tequila Pink,Tequila,1.5 oz, Blanco tequila,1 oz, Dry Vermouth,,,.25 oz,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Tequila Old-Fashioned,Tequila,1.5 oz, Blanco tequila,1 oz, Simple Syrup,,,1 oz,1 oz,,,,,Lemon Twist,"Pour tequila, syrup, and bitters in ice-filled old-fashioned glass and stir. Add soda. Garnish with a lemon twist.",Old-Fashioned Glass,6
Rob Roy Cocktail,Cocktail Classics,.75 oz, Sweet Vermouth,1.5 oz, Desmond & Duff Scotch Whisky,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Tequila Mockingbird,Tequila,,,.25 oz, Minced ginger,,,1.75 oz,1.5 oz,1 oz,  Lime Juice,,,"Lime Slice, Salt",Rim one half of a chilled cocktail glass with lime and salt. Muddle ginger in mixing glass. Add remaining ingredients with ice and shake. Strain into glass. Garnish with a lime slice.,Cocktail Glass,6
Tequila Matador,Tequila,1.5 oz, Blanco tequila,2 oz, Pineapple Juice,,,.5 oz,,,,,,,Shake with ice and strain into chilled champagne flute.,champagne_flute,6
Tequila Manhattan,Tequila,2 oz, Blanco tequila,1 oz, Sweet Vermouth,,,1 oz,,,,,,Cherry,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with a cherry.,Old-Fashioned Glass,6
T.N.T. Cocktail,Cocktail Classics,1.5 oz, Old Thompson Blended Whiskey,1.5 oz, Absinthe Substitute,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Thunderclap Cocktail,Cocktail Classics,.75 oz, Old Mr. Boston Dry Gin,.75 oz, Old Thompson Blended Whiskey,,,.75 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Thunder Cocktail,Cocktail Classics,1 oz, Powdered Sugar,1 oz, Egg Yolk,,,1.5 oz,1 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Tequila Collins,Tequila,2 oz, Blanco tequila,.5 oz,  lemon juice,,,.5 oz, Soda water,,,,,"Lemon Slice, Orange Slice, Cherry","Shake first three ingredients with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Garnish with a lemon slice, an orange slice, and a cherry. Serve with straw.",Collins Glass,14
White Lady Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Powdered Sugar,,,1 oz,1.5 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Tequila Canyon,Tequila,1.5 oz, Blanco tequila,.25 oz, Triple Sec,,,1 oz,1 oz,1 oz, Orange juice,,,Lime Slice,Pour into Collins glass and stir. Add ice. Garnish with a lime slice. Serve with straw.,Collins Glass,14
Chicago Cocktail,Brandy,,,1 oz, Brandy,,,.5 oz,.25 oz,.25 oz, Maraschino liqueur,,,Sugar,Rim chilled old-fashioned glass with lemon and sugar. Stir remaining ingredients with ice and strain into glass.,Old-Fashioned Glass,6
Sunday Confession,Tequila,1 oz, Blanco tequila,1 oz, Limoncello,,,.5 oz, Ginger beer,,,,,Lemon Slice,Pour the first three ingredients into Collins glass and stir briefly. Add ice and top with ginger beer. Garnish with a lemon slice.,Collins Glass,14
Strawberry Margarita,Tequila,,,3 oz,"  strawberries, cut in half",,,.75 oz,1.5 oz,.75 oz, Triple Sec,,.75 oz,"Strawberry, Sugar","If desired, rim chilled cocktail glass with lime and sugar or salt. Muddle strawberries with schnapps in mixing glass. Add remaining ingredients and shake with ice. Strain through fine wire sieve into glass. Garnish with a strawberry.",Cocktail Glass,6
Western Rose Cocktail,Cocktail Classics,.5 oz, Old Mr. Boston Apricot Flavored Brandy,1 oz, Old Mr. Boston Dry Gin,,,.5 oz,.25 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Widow's Kiss Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Five Star Brandy,.5 oz, Yellow Chartreuse,,,.5 oz,1 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Spice Of Life,Tequila,3 oz, Cucumber,12, mint leaves,,,.75 oz,2 oz,.75 oz,  Lime Juice,,,"Cucumber, Mint","Muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. Add tequila and lime juice with ice and shake. Double-strain into ice-filled old-fashioned glass. Garnish with a cucumber slice and mint sprig.",Old-Fashioned Glass,6
Widow's Dream Cocktail,Cocktail Classics,1.5 oz, Benedictine,1 oz, Whole Egg,,,,,,,,,Sweet Cream,Shake with ice and strain into cocktail glass. Top with one teaspoon of sweet cream.,Cocktail Glass,6
Vodka Gypsy Cocktail,Cocktail Classics,1.5 oz, Old Mr. Boston Vodka,.75 oz, Benedictine,,,1 oz,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
South Of The Border,Tequila,1 oz, Blanco tequila,.75 oz, Coffee-flavored brandy,,,.5 oz,,,,,,Lime Slice,Shake with ice and strain into chilled sour glass. Garnish with a lime slice.,champagne_extra_fluted,2
Vodka Grasshopper Cocktail,Cocktail Classics,.75 oz, Old Mr. Boston Vodka,.75 oz, Old Mr. Boston Green Creme de Menthe,,,.75 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Violet Fizz Juice,Cocktail Classics,.5 oz, Juice of a Lemon,.5 oz, Powdered Sugar,,,1.5 oz,1 oz,,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Smoked Margarita,Tequila,.5 oz," Smoky Scotch whisky, such as Islay or Skye",1 oz, Reposado tequila,,,1 oz,.5 oz,.5 oz,  Lime Juice,,,Lime Slice,Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Garnish with a lime slice,Old-Fashioned Glass,6
Sloe Tequila,Shooters,1 oz, Blanco tequila,.5 oz, Sloe gin,,,.5 oz,,,,,,Cucumber Twist,Combine ingredients with.5 cup crushed ice in blender on low speed. Pour into old-fashioned glass. Garnish with a cucumber twist.,Old-Fashioned Glass,6
Queen Elizabeth Cocktail,Cocktail Classics,1.5 oz, Old Mr. Boston Dry Gin,.5 oz, Dry Vermouth,,,1.5 oz,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Silk Stockings,Tequila,1.5 oz, Blanco tequila,1 oz, White creme de cacao,,,1.5 oz,1 oz,,,,,,Shake ingredients with ice and strain into chilled cocktail glass. Top with cinnamon.,Cocktail Glass,6
Orchid Cocktail,Cocktail Classics,2 oz, Old Mr. Boston Dry Gin,1 oz, Egg White,,,1 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Orange Milk Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,,2 oz,2 oz,,,,,,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.,Highball Glass,7
Orange Gin Rickey,Cocktail Classics,.5 oz, Juice of a Lime,2 oz, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,,Pour into highball glass over ice cubes and fill with carbonated water. Garnish with a lime slice. Stir.,Highball Glass,7
Orange Gin Highball,Cocktail Classics,2 oz, Old Mr. Boston Orange Flavored Gin ,,ginger ale,,,,,,,,,Lemon Twist,"Pour into highball glass over ice cubes and fill with ginger ale or carbonated water. Garnish with a lemon twist, if desired, and stir.",Highball Glass,7
Orange Gin Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,,2 oz,,,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Orange Gin Collins,Cocktail Classics,.5 oz, Juice of a Lemon,2 oz, Old Mr. Boston Orange Flavored Gin ,,,,,,,,,"Lemon Slice, Orange Slice, Cherry","Shake with ice and strain into collins glass. Add several cubes of ice, fill with carbonated water and stir. Garnish with a lemon slice and an orange slice and a cherry. Serve with straws.",Collins Glass,14
Sidewinder,Tequila,1.5 oz, Reposado tequila,.5 oz, Campari,,,.5 oz,.5 oz,.25 oz, Mezcal,,2 oz,Mint,Fill Collins glass.5 full with crushed ice. Add all ingredients. Swizzle with barspoon until glass is frosted. Fill to brim with additional ice. Garnish with mint.,Collins Glass,14
Orange Blossom Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Dry Gin,1 oz, Orange Juice,,,.25 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Shady Lady,Tequila,1 oz, Blanco tequila,1 oz, Melon liqueur,,,4 oz,4 oz,,,,,"Melon Slice, Cherry",Combine all ingredients in ice-filled highball glass and stir. Garnish with a lime slice and a melon slice or a cherry.,Highball Glass,7
Cherry Blossom,Brandy,,,1 oz, Brandy,,,.5 oz,.5 oz,.25 oz, Triple Sec,,.25 oz,"Cherry, Sugar",Rim chilled cocktail glass with brandy and sugar. Shake ingredients with ice and strain into glass. Garnish with a cherry.,Cocktail Glass,6
The Sfozando,Tequila,1 oz, Mezcal,.75 oz, Rye Whiskey,,,.5 oz,.5 oz,1 oz, Chocolate bitters,,,Orange Twist,Stir with ice and strain into cocktail glass. Garnish with a orange twist.,Cocktail Glass,6
Napoleon Cocktail,Cocktail Classics,2 oz, Old Mr. Boston Dry Gin,.5 oz, Curacao,,,.5 oz,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Moulin Rouge Cocktail,Cocktail Classics,1.5 oz, Old Mr. Boston Sloe Gin,.75 oz, Sweet Vermouth,,,1 oz,,,,,,,Stir with ice and strain cocktail glass.,Cocktail Glass,6
Sea Of Cortez,Tequila,1.5 oz, Blanco tequila,1 oz,  Lime Juice,,,.75 oz,.25 oz,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Satin Sheets,Tequila,1.5 oz, Blanco tequila,.5 oz, Falernum,,,.5 oz,.75 oz,,,,,Lime Slice,Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Santana Sling,Tequila,1.5 oz, Reposado tequila,.5 oz, Cherry Heering,,,.25 oz,.5 oz,3 oz, Ginger beer,,,,Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.,Collins Glass,14
Rosita,Tequila,1.5 oz, Blanco tequila,.5 oz, Sweet Vermouth,,,.5 oz,.5 oz,1 oz, Angostura Bitters,,,Lemon Twist,Stir with ice. Strain into ice-filled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Mariposa Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Rum,.5 oz, Old Mr. Boston Five Star Brandy,,,1 oz,1 oz,1 oz, Grenadine,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Margarita Cocktail,Cocktail Classics,1.5 oz, Old Mr. Boston Tequila,.5 oz, Old Mr. Boston Triple Sec,,,1 oz,,,,,,Salt,"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. ",Cocktail Glass,6
The Refuge,Tequila,1.5 oz, Blanco tequila,.5 oz, Aperol,,,.25 oz,.25 oz,.25 oz, Agave nectar,,,,Shake with ice. Strain into chilled cocktail glass.,Cocktail Glass,6
Manhattan Cocktail (dry),Cocktail Classics,.75 oz, Dry Vermouth,1.5 oz, Old Thompson Blended Whiskey,,,,,,,,,Olive,Stir with ice and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6
Mamie Taylor,Cocktail Classics,.5 oz, Juice of a Lime,2 oz, Desmond & Duff Scotch Whisky,,,,,,,,,,Fill collins glass with ginger ale and ice. Stir.,Collins Glass,14
Quetzalcoatl,Tequila,1 oz, Blanco tequila,.75 oz, Mezcal,,,.5 oz,.5 oz,.5 oz, Grapefruit Juice,,,Grapefruit Twist,Shake with ice and strain into cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6
Zero Mint,Cocktail Classics, 2 oz, Mr. Boston Creme de menthe,,water,,,,,,,,,,For each serving chill 2 oz. Old Mr. Boston Creme de Menthe (Green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (Does not have to be frozen solid.) Serve in cocktail glasses.,Cocktail Glass,6
Purple Pancho,Tequila,,,1 oz, Blanco tequila,,,.5 oz,.5 oz,2 oz,  Lime Juice,,1 oz,Lime Slice,Rim chilled cocktail or margarita glass with lime wedge and sugar. Shake remaining ingredients with ice and pour with ice into glass. Garnish with a lime slice,Cocktail Glass,6
Midnight Express,Rum - Daiquiris,1.5 oz, Dark rum,.5 oz, Triple Sec,,,.75 oz,.25 oz,.25 oz, Simple Syrup,,,,Shake with ice and pour into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Mary Pickford Cocktail,Rum - Daiquiris,1.5 oz, Light Rum,.75 oz, Pineapple Juice,,.25 oz,.25 oz, Grenadine,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Charles Cocktail,Brandy,1.5 oz, Brandy,1.5 oz, Sweet Vermouth,,1 oz,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Martinique Rose,Rum - Daiquiris,2 oz, Aged rhum agricole,.5 oz, Amaretto,,.75 oz,.75 oz, Grapefruit Juice,.5 oz, orgeat or almond syrup,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Mariposa,Rum - Daiquiris,1 oz, Light Rum,.5 oz, Brandy,,.5 oz,.5 oz, Orange juice,1 oz, Grenadine,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Mandeville,Rum - Daiquiris,1.5 oz, Light Rum,1 oz, Dark rum,,.5 oz,1 oz, Anisette,1 oz, Grenadine,, Cola,,Shake first five ingredients with ice and strain into ice-filled old fashioned glass. Top with cola.,Old-Fashioned Glass,6
K.C.B. Cocktail,Cocktail Classics,.5 oz, Old Mr. Boston Kummel,1.5 oz, Old Mr. Boston Dry Gin,,.25 oz,.25 oz, Lemon Juice,,,,,Lemon Twist,Shake with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Malmaison,Rum - Daiquiris,, Anisette,1 oz, Light Rum,,.5 oz,1 oz,  lemon juice,,,,,,Rim chilled cocktail glass with anisette. Shake remaining ingredients with ice. Strain into glass.,Cocktail Glass,6
Mai-Tai (Trader Vic Version),Rum - Daiquiris,2 oz," Dark rum, preferably Jamaican",.5 oz, Orange curacao,,1 oz,.5 oz, Orgeat Syrup,.25 oz, Rock candy syrup or simple syrup,,,"Lime Twist, Mint, Pineapple Slice, Cherry","Shake ingredients without ice. Strain into ice-filled old-fashioned glass. Garnish with a lime twist, mint, and a skewered pineapple and cherry.",Old-Fashioned Glass,6
Jersey Lightning Cocktail,Cocktail Classics,1.5 oz, Apple Brandy,.5 oz, Sweet Vermouth,,1 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Lumination,Rum - Daiquiris,2 oz,  ginger,1 oz, Simple Syrup,,2 oz,1 oz, VS cognac,1 oz," each  lemon juice, Angostura bitters",,,Lemon Twist,Muddle ginger in syrup in mixing glass. Add remaining ingredients and ice and shake. Strain into chilled champagne flute. Garnish with a lemon twist.,champagne_flute,6
Jamaica Glow Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Dry Gin,1 oz, Claret,,1 oz,1 oz, Jamaica Rum,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Lounge Lizard,Rum - Daiquiris,1 oz, Dark rum,.5 oz, Amaretto,,,,,,,,,Lime Slice,Pour rum and amaretto into ice-filled Collins glass. Fill with cola and stir. Garnish with a lime slice.,Collins Glass,14
Jack-in-the-Box Cocktail,Cocktail Classics,1 oz, Apple Brandy,1 oz, Pineapple Juice,,1 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Irish Whisky Cocktail,Cocktail Classics,.5 oz, Old Mr. Boston Triple Sec,.5 oz, Absinthe Substitute,,.25 oz,1 oz, Bitters,2 oz, Irish Whiskey,,,Olive,Stir with ice and strain into cocktail glass. Garnish with an olive.,Cocktail Glass,6
Look Out Below,Rum - Daiquiris,1.5 oz, 151-Proof Rum,.5 oz,  Lime Juice,,.25 oz,,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Little Princess Cocktail,Rum - Daiquiris,1.5 oz, Light Rum,1.5 oz, Sweet Vermouth,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Little Devil Cocktail,Rum - Daiquiris,.75 oz, Light Rum,.75 oz, Gin,,.5 oz,.25 oz, Triple Sec,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Champs Elysees Cocktail,Brandy,1 oz, Brandy,.5 oz, Yellow Chartreuse,,.5 oz,1 oz, Simple Syrup,1 oz, Angostura Bitters,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Hop Toad Cocktail ,Cocktail Classics,.5 oz, Juice of a Lime,.75 oz, Old Mr. Boston Apricot Flavored Brandy,,.75 oz,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Level headed Cocktail,Rum - Daiquiris,1.5 oz, Aged rhum agricole,1 oz, Cold brewed coffee,,.5 oz,.25 oz, Simple Syrup,2 oz, Angostura Bitters,,,,Shake with ice and strain into snifter.,poco_grande,8
La Vita Dulce,Rum - Daiquiris,1.5 oz, Spiced rum,.75 oz, Mezcal,,.75 oz,.75 oz, Simple Syrup,,,,,Cinnamon,Shake with ice and strain into chilled cocktail glass. Top with cinnamon.,Cocktail Glass,6
Hole-in-One Cocktail,Cocktail Classics,1.75 oz, Desmond & Duff Scotch Whisky,.75 oz, Dry Vermouth,,.25 oz,1 oz, Orange Bitters,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Ko Adang,Rum - Daiquiris,2 oz, Dark rum,1 oz, Coconut rum,,.5 oz,.5 oz, Mango nectar,.5 oz, Cream of coconut,.5 oz,"  Lime Juice, lime wheel",Lime Slice,Shake with ice and strain into ice-filled Collins glass. Garnish with a lime slice.,Collins Glass,14
Knickerbocker Special Cocktail,Rum - Daiquiris,2 oz, Light Rum,.5 oz, Triple Sec,,1 oz,1 oz, Orange juice,1 oz, Raspberry Syrup,,,Pineapple Slice,Shake with ice and strain into chilled cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6
Hair Raiser Cocktail,Cocktail Classics,1.5 oz, Old Mr. Boston 100 proof Vodka,.5 oz, Old Mr. Boston Rock and Rye,,1 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Green Opal Cocktail,Cocktail Classics,.5 oz, Old Mr. Boston Dry Gin,.5 oz, Old Mr. Boston Anisette ,,1 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Jamaican Ginger,Rum - Daiquiris,1.5 oz, Light Rum,1 oz, Dark rum,,.5 oz,.5 oz,  Lime Juice,4 oz, Angostura Bitters,, Ginger ale,Lime Slice,Stir first five ingredients in ice-filled Collins glass. Top with ginger ale. Garnish with a lime slice.,Collins Glass,14
Green Dragon Cocktail,Cocktail Classics,.5 oz, Juice of a Lemon,.5 oz, Old Mr. Boston Kummel,,.5 oz,1.5 oz, Old Mr. Boston Dry Gin,4 oz, Orange Bitters,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Grasshopper Cocktail,Cocktail Classics,.75 oz, Old Mr. Boston Green Creme de Menthe,.75 oz, Old Mr. Boston White Creme de Cacao,,.75 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Jamaican Crawler,Rum - Daiquiris,1 oz, Light Rum,1 oz, Melon liqueur,,3 oz,1 oz, Grenadine,,,,,,Shake first three ingredients with ice and pour into Collins glass. Add grenadine and stir.,Collins Glass,14
Golden Slipper Cocktail,Cocktail Classics,.75 oz, Yellow Chartreuse,2 oz, Old Mr. Boston Apricot Flavored Brandy,,,,,,,,,Egg Yolk,Stir with ice and strain into cocktail glass. Top with an unbroken egg yolk.,Cocktail Glass,6
Jade,Rum - Daiquiris,1.5 oz, Light Rum,.5 oz,  Lime Juice,,.5 oz,.5 oz, Triple Sec,.5 oz, Simple Syrup Scant,, ,Lime Slice,Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Jacqueline,Rum - Daiquiris,2 oz, Dark rum,1 oz, Triple Sec,,1 oz,1 oz, Simple Syrup,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Jack Sparrow Flip,Rum - Daiquiris,2 oz, Dark rum,.75 oz, Madeira,,.75 oz,1 oz, Egg,2 oz, Angostura Bitters,,,Nutmeg,Shake without ice. Then shake with ice and strain into highball glass. Top with nutmeg.,Highball Glass,7
